awayTeam,awayTeamKit,competition,date,endPeriod1,endPeriod2,homeTeam,homeTeamKit,homeTeamStartLeft,id,period1,period2,season,stadium,startPeriod1,startPeriod2,videos,week
"{'id': '11', 'name': 'Manchester City', 'shortName': 'MCI'}","{'name': 'alt-1', 'primaryColor': '#FFFFFF', 'primaryTextColor': '#000000', 'secondaryColor': '#6CABDD', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-08-11T19:00:00,3157.691,6393.827,"{'id': '5', 'name': 'Burnley', 'shortName': 'BUR'}","{'name': 'home', 'primaryColor': '#690F3C', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#8CD1F3', 'secondaryTextColor': '#000000'}",True,13335,50.0634,53.068066666666674,2023-2024,"{'id': '6', 'name': 'Turf Moor', 'pitchLength': 105.0, 'pitchWidth': 68.0}",153.887,3209.743,"{'fps': 29.97, 'id': '11287', 'videoUrl': 'epitome-staging.pff.com/en/film_room/52c7ce9f-0c46-4cf7-874d-e58250cf8440'}",1
"{'id': '221', 'name': 'Nottingham Forest', 'shortName': 'FOR'}","{'name': '2023 Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#003366', 'secondaryColor': '#99ffff', 'secondaryTextColor': '#003366'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T11:30:00,3164.664,6375.008,"{'id': '2', 'name': 'Arsenal', 'shortName': 'ARS'}","{'name': 'home', 'primaryColor': '#E10B17', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13336,50.98765,53.00355,2023-2024,"{'id': '3', 'name': 'Emirates Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",105.405,3194.795,"{'fps': 29.97, 'id': '11300', 'videoUrl': 'epitome-staging.pff.com/en/film_room/9581ea29-2553-4127-8274-c1ba982b2932'}",1
"{'id': '19', 'name': 'West Ham', 'shortName': 'WHU'}","{'name': 'alt-2', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T14:00:00,2920.053,6082.983,"{'id': '1', 'name': 'AFC Bournemouth', 'shortName': 'BOU'}","{'name': 'home', 'primaryColor': '#E20613', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#FFFFFF'}",False,13337,46.03825,51.69725,2023-2024,"{'id': '2', 'name': 'Vitality Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",157.758,2981.148,"{'fps': 29.97, 'id': '11296', 'videoUrl': 'epitome-staging.pff.com/en/film_room/318c7c60-0a15-459e-bbd5-d0b9138746a7'}",1
"{'id': '218', 'name': 'Luton Town', 'shortName': 'LUT'}","{'name': 'Home', 'primaryColor': '#ff5f00', 'primaryTextColor': '#1B1A38', 'secondaryColor': '#1B1A38', 'secondaryTextColor': '#ff5f00'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T14:00:00,2946.246,6117.884,"{'id': '4', 'name': 'Brighton & Hove Albion', 'shortName': 'BHA'}","{'name': 'home', 'primaryColor': '#0A55A2', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13338,46.01656666666667,52.09153333333334,2023-2024,"{'id': '5', 'name': 'Amex Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",185.252,2992.392,"{'fps': 29.97, 'id': '11297', 'videoUrl': 'epitome-staging.pff.com/en/film_room/72cb3fcc-64e0-48df-ba3f-1f8cef423855'}",1
"{'id': '54', 'name': 'Fulham', 'shortName': 'FUL'}","{'name': 'home', 'primaryColor': '#FFFFFF', 'primaryTextColor': '#000000', 'secondaryColor': '#0B0906', 'secondaryTextColor': '#FFFFFF'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T14:00:00,2959.059,6158.325,"{'id': '8', 'name': 'Everton', 'shortName': 'EVE'}","{'name': 'home', 'primaryColor': '#0B478F', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",False,13339,46.08996666666667,51.85185,2023-2024,"{'id': '9', 'name': 'Goodison Park', 'pitchLength': 100.5, 'pitchWidth': 68.0}",193.661,3047.214,"{'fps': 29.97, 'id': '11298', 'videoUrl': 'epitome-staging.pff.com/en/film_room/7bc007c3-7197-41c1-9c67-b14b5b9fbf2d'}",1
"{'id': '7', 'name': 'Crystal Palace', 'shortName': 'CRY'}","{'name': 'alt-1', 'primaryColor': '#323131', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#3258A3', 'secondaryTextColor': '#FFFFFF'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T14:00:00,3014.714,6142.609,"{'id': '15', 'name': 'Sheffield United', 'shortName': 'SHU'}","{'name': 'home', 'primaryColor': '#E5292A', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",True,13340,46.49203333333333,50.67956666666667,2023-2024,"{'id': '16', 'name': 'Bramall Lane', 'pitchLength': 101.0, 'pitchWidth': 68.0}",225.192,3101.835,"{'fps': 29.97, 'id': '11299', 'videoUrl': 'epitome-staging.pff.com/en/film_room/31c83755-ce0b-4d95-97aa-03a79770ba57'}",1
"{'id': '3', 'name': 'Aston Villa', 'shortName': 'AVL'}","{'name': 'home', 'primaryColor': '#660E36', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#93BDE4', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-08-12T16:30:00,3419.986,6579.613,"{'id': '13', 'name': 'Newcastle United', 'shortName': 'NEW'}","{'name': 'home', 'primaryColor': '#000000', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}",False,13341,56.6027,51.04381666666667,2023-2024,"{'id': '14', 'name': ""St James' Park"", 'pitchLength': 105.0, 'pitchWidth': 68.0}",23.824,3516.984,"{'fps': 29.97, 'id': '11301', 'videoUrl': 'epitome-staging.pff.com/en/film_room/a03ba6c5-8aca-4758-a7c4-78c5e18a8b8e'}",1
"{'id': '17', 'name': 'Tottenham Hotspur', 'shortName': 'TOT'}","{'name': '2023 Away', 'primaryColor': '#003366', 'primaryTextColor': '#ffffff', 'secondaryColor': '#003366', 'secondaryTextColor': '#ffffff'}","{'id': '1', 'name': 'Premier League'}",2023-08-13T13:00:00,3438.605,6414.581,"{'id': '119', 'name': 'Brentford', 'shortName': 'BRE'}","{'name': 'Home', 'primaryColor': '#e30613', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#e30613'}",False,13342,56.07885,49.180283333333335,2023-2024,"{'id': '112', 'name': 'Brentford Community Stadium', 'pitchLength': 105.0, 'pitchWidth': 68.0}",73.874,3463.764,"{'fps': 29.97, 'id': '11321', 'videoUrl': 'epitome-staging.pff.com/en/film_room/48f93f94-7cbf-49b1-9c3b-40267b53ccc9'}",1
"{'id': '10', 'name': 'Liverpool', 'shortName': 'LIV'}","{'name': 'home', 'primaryColor': '#D01317', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#FFFFFF', 'secondaryTextColor': '#000000'}","{'id': '1', 'name': 'Premier League'}",2023-08-13T15:30:00,3239.339,6311.244,"{'id': '6', 'name': 'Chelsea', 'shortName': 'CHE'}","{'name': 'home', 'primaryColor': '#184890', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#1D1D1D', 'secondaryTextColor': '#FFFFFF'}",False,13343,52.68768333333333,49.99498333333333,2023-2024,"{'id': '7', 'name': 'Stamford Bridge', 'pitchLength': 103.0, 'pitchWidth': 67.5}",78.078,3311.545,"{'fps': 29.97, 'id': '11320', 'videoUrl': 'epitome-staging.pff.com/en/film_room/f79e2996-8e41-4820-b160-af5cc5867a1b'}",1
"{'id': '20', 'name': 'Wolverhampton Wanderers', 'shortName': 'WLV'}","{'name': 'home', 'primaryColor': '#F59E1F', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#000000', 'secondaryTextColor': '#FFFFFF'}","{'id': '1', 'name': 'Premier League'}",2023-08-14T19:00:00,2910.277,6226.392,"{'id': '12', 'name': 'Manchester United', 'shortName': 'MUN'}","{'name': 'home', 'primaryColor': '#D91117', 'primaryTextColor': '#FFFFFF', 'secondaryColor': '#221E20', 'secondaryTextColor': '#FFFFFF'}",True,13344,47.01258333333333,54.37991666666666,2023-2024,"{'id': '13', 'name': 'Old Trafford', 'pitchLength': 105.0, 'pitchWidth': 68.0}",89.522,2963.597,"{'fps': 29.97, 'id': '11399', 'videoUrl': 'epitome-staging.pff.com/en/film_room/43bc285f-6695-451a-b681-1c1a34c4a580'}",1
